Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
650000,0.7409184,-0.023042042,3754.8333333333335,0.0070397016,0.017558537,0.0002622648,0.18742159,0.004372338,-0.42916659188146394,-0.42916659188146394,1.0
700000,0.72746056,-0.026379004,3577.285714285714,0.007770028,0.013991223,0.0002597998,0.18659994,0.004331336,-0.4046427717964564,-0.4046427717964564,1.0
750000,0.7214213,0.0049008173,3842.0,0.0072476263,0.016983947,0.00025670315,0.18556769,0.0042798277,-0.3389285040487136,-0.3389285040487136,1.0
800000,0.6885915,-0.011848131,3415.714285714286,0.010134325,0.016967298,0.00025361258,0.1845375,0.0042284224,-0.20035708502733282,-0.20035708502733282,1.0
850000,0.70459956,0.0022724965,2720.6,0.009276668,0.015469335,0.0002505176,0.18350585,0.004176942,-0.13249995782971383,-0.13249995782971383,1.0
900000,0.7281356,-0.0076491116,3365.75,0.007811522,0.014328463,0.000247419,0.18247297,0.0041254014,-0.11812496307538822,-0.11812496307538822,1.0
950000,0.7421172,-0.030119315,3871.1666666666665,0.008122264,0.018281115,0.0002443313,0.18144375,0.004074043,-0.13166663167066872,-0.13166663167066872,1.0
1000000,0.73514503,-0.01992966,2949.0,0.0064868145,0.012722377,0.00024124583,0.18041529,0.004022721,-0.09571425736482654,-0.09571425736482654,1.0
1050000,0.74034035,0.0033300065,3419.875,0.008194369,0.02128724,0.00023877437,0.17959145,0.0039816126,-0.10749997472157702,-0.10749997472157702,1.0
1100000,0.74897736,0.005289705,3471.1666666666665,0.0087399185,0.017928466,0.0002356905,0.17856348,0.0039303186,-0.11999996107382079,-0.11999996107382079,1.0
1150000,0.7514676,-0.021294728,4156.0,0.007005059,0.01740298,0.00023261034,0.17753676,0.0038790836,-0.14928567688912153,-0.14928567688912153,1.0
1200000,0.7475376,-0.018498288,3542.285714285714,0.008243374,0.0137062855,0.00022951762,0.17650591,0.0038276426,-0.14678566989355854,-0.14678566989355854,1.0
1250000,0.7518521,-0.0055618742,3071.625,0.007115017,0.021109363,0.00022641549,0.17547181,0.0037760437,-0.12718746927566826,-0.12718746927566826,1.0
1300000,0.7412316,-0.003606063,3115.8571428571427,0.0076467018,0.017681891,0.00022331935,0.17443979,0.003724545,-0.1078571144358388,-0.1078571144358388,1.0
1350000,0.720755,-0.008362078,3301.285714285714,0.008485321,0.012201367,0.0002202346,0.1734115,0.0036732345,-0.1617856740818492,-0.1617856740818492,1.0
1400000,0.72741556,0.00021583113,4748.833333333333,0.00525055,0.016623834,0.00021775109,0.17258367,0.0036319257,-0.14874996066403887,-0.14874996066403887,1.0
1450000,0.73118675,-0.009184695,4482.5,0.0076578395,0.017255845,0.00021466502,0.17155497,0.0035805935,-0.16458329667026797,-0.16458329667026797,1.0
1500000,0.7420023,-0.0087987725,3148.875,0.008081587,0.017160982,0.00021158546,0.17052847,0.0035293708,-0.09656246559461579,-0.09656246559461579,1.0
1550000,0.7537537,0.0018632734,3527.714285714286,0.0074009616,0.015109502,0.0002085084,0.16950275,0.003478188,-0.15392852368365442,-0.15392852368365442,1.0
1600000,0.76300627,0.01285929,4076.8333333333335,0.0063883676,0.02065928,0.0002054305,0.16847682,0.0034269928,-0.16499995618748167,-0.16499995618748167,1.0
1650000,0.73917663,0.013043331,3041.8571428571427,0.006595798,0.01627295,0.0002023382,0.16744606,0.0033755575,-0.13214283057355455,-0.13214283057355455,1.0
1700000,0.73091364,0.010631229,3237.0,0.008324776,0.019015092,0.00019925903,0.16641966,0.003324341,-0.10357140184247068,-0.10357140184247068,1.0
1750000,0.72671217,0.013633231,3595.3333333333335,0.008493946,0.017035095,0.00019678744,0.16559577,0.0032832294,-0.1399999697589212,-0.1399999697589212,1.0
1800000,0.7145205,-0.0051979427,4192.0,0.0074045025,0.016598867,0.00019369565,0.1645652,0.0032318032,-0.13535709892000472,-0.13535709892000472,1.0
1850000,0.6389042,0.0015289873,3236.375,0.0062821386,0.017009083,0.00019061663,0.16353887,0.003180589,-0.0756249760161154,-0.0756249760161154,1.0
1900000,0.6305346,-0.00023906732,3034.25,0.009200124,0.016056841,0.0001875205,0.16250683,0.00312909,-0.07343747606500983,-0.07343747606500983,1.0
1950000,0.6507936,0.007365664,3806.0,0.0067506023,0.015775729,0.00018443381,0.1614779,0.0030777485,-0.10799996294081211,-0.10799996294081211,1.0
