Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
4450000,0.10875943,0.031110322,3050.0,1196.977724139243,-0.45470587333993,-0.45470587333993,0.008287484,0.016628988,3.425256e-05,0.11141747,0.0005797328,1.0
4500000,0.11599952,0.009456523,2841.1052631578946,1197.725775800958,0.8126315852431091,0.8126315852431091,0.007859247,0.01700761,3.1790463e-05,0.11059679,0.0005387799,1.0
4550000,0.097204424,0.010285852,2382.4,1200.3508530711958,0.6049999915063381,0.6049999915063381,0.008327617,0.016127361,2.8708253e-05,0.10956939,0.00048751233,1.0
4600000,0.093436934,0.020510701,3248.0,1200.9829908444876,0.12031250755535439,0.12031250755535439,0.008055801,0.01631756,2.562414e-05,0.10854135,0.00043621327,1.0
4650000,0.079121634,0.031184115,3285.4375,1202.9961578700195,0.9325000006356277,0.9325000006356277,0.0074240663,0.014288061,2.2535814e-05,0.10751191,0.0003848441,1.0
4700000,0.07967995,0.018613806,2945.9375,1202.5691370454742,0.9381249964935705,0.9381249964935705,0.0073231244,0.015434859,1.9449748e-05,0.10648322,0.0003335125,1.0
4750000,0.07684669,0.029705774,3457.3125,1203.444815171569,0.7140625046449713,0.7140625046449713,0.0075820438,0.018080704,1.6367972e-05,0.10545597,0.00028225235,1.0
4800000,0.07240579,0.024235915,2252.9444444444443,1204.7411714247876,0.07888888883300954,0.07888888883300954,0.0089106485,0.01586058,1.3284461e-05,0.10442813,0.00023096325,1.0
4850000,0.06386721,0.019337282,3022.3333333333335,1204.1624079915466,0.20133333423485358,0.20133333423485358,0.0076484,0.017840194,1.08189915e-05,0.10360631,0.00018995433,1.0
4900000,0.06546923,0.036644492,2986.0,1204.5772141422376,0.8508333385818534,0.8508333385818534,0.008935516,0.016436966,7.733938e-06,0.102577955,0.00013863955,1.0
4950000,0.065347515,0.0035808487,2645.277777777778,1204.508671497407,-0.1833333354960713,-0.1833333354960713,0.008445157,0.017127978,4.6484747e-06,0.10154947,8.731798e-05,1.0
5000000,0.06410029,0.015958829,3108.375,1204.7550530855206,0.07531249453313649,0.07531249453313649,0.007843911,0.017240897,1.563762e-06,0.10052123,3.6008914e-05,1.0
