Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
6650000,0.05118181,0.047030445,0.0021706785,0.017152555,0.00010121547,0.13373846,0.0016935492,10575.6,1196.0223005507341,5.640000441297889,5.640000441297889,1.0
6700000,0.05390703,0.08528044,0.0019490197,0.014936602,9.967286e-05,0.13322426,0.0016678907,7832.333333333333,1195.1073399111622,4.2208336112089455,4.2208336112089455,1.0
6750000,0.049476404,0.026070904,0.0028762172,0.015529229,9.81304e-05,0.1327101,0.0016422343,9332.666666666666,1193.9470219327357,5.2050003831585245,5.2050003831585245,1.0
6800000,0.04671506,0.05736611,0.0025746059,0.016554078,9.659092e-05,0.13219693,0.0016166273,4238.5,1194.1201323055582,2.5141668574263654,2.5141668574263654,1.0
6850000,0.04013676,0.06852449,0.0022148592,0.016987666,9.535809e-05,0.13178599,0.0015961215,11362.333333333334,1195.2058090528299,8.180000454497835,8.180000454497835,1.0
6900000,0.042018108,0.05883705,0.003226408,0.016825566,9.381574e-05,0.13127188,0.0015704675,8265.75,1195.038714935605,4.950625303434208,4.950625303434208,1.0
6950000,0.04749863,0.043530256,0.0031795776,0.014236103,9.227594e-05,0.13075861,0.0015448553,6808.428571428572,1195.8225244246744,4.990000227865364,4.990000227865364,1.0
7000000,0.042170253,0.071041875,0.002820586,0.018447865,9.073724e-05,0.1302457,0.0015192615,7293.333333333333,1196.7838317108665,5.113333631772548,5.113333631772548,1.0
7050000,0.052828614,0.061075885,0.0019449675,0.019011091,8.9197885e-05,0.12973261,0.0014936568,4365.833333333333,1196.8591633080857,2.5816669035702944,2.5816669035702944,1.0
7100000,0.0446341,0.039365523,0.0022079882,0.015601962,8.765804e-05,0.12921934,0.0014680438,7853.0,1196.398997260556,2.935000372119248,2.935000372119248,1.0
7150000,0.049040176,0.045277186,0.0019980562,0.015522797,8.6113985e-05,0.12870461,0.0014423607,8311.75,1195.523823039247,4.050000418210402,4.050000418210402,1.0
7200000,0.05504519,0.036599126,0.0025507116,0.018880107,8.488208e-05,0.12829399,0.0014218704,10335.125,1194.780491140364,5.24000047147274,5.24000047147274,1.0
7250000,0.04539468,0.05068997,0.002210186,0.018031245,8.33407e-05,0.1277802,0.0013962323,10125.6,1193.943784151447,5.3740004559978845,5.3740004559978845,1.0
7300000,0.040093936,0.07970198,0.0038902604,0.016296592,8.17932e-05,0.12726438,0.0013704919,4059.6666666666665,1192.3097449087572,1.175833526533097,1.175833526533097,1.0
7350000,0.034787614,0.077389754,0.0017565656,0.014964141,8.025328e-05,0.12675105,0.0013448782,6160.333333333333,1192.2367241907925,4.6800001959005995,4.6800001959005995,1.0
7400000,0.04482287,0.06581786,0.0036395309,0.01690524,7.87127e-05,0.12623754,0.0013192529,9843.555555555555,1192.18912570113,5.650000383249587,5.650000383249587,1.0
7450000,0.034923863,0.056467425,0.0030974958,0.014884527,7.7169134e-05,0.125723,0.0012935785,6455.6,1191.0886726564795,4.240000216290355,4.240000216290355,1.0
7500000,0.035917897,0.043111656,0.0022873748,0.014224514,7.562895e-05,0.1252096,0.0012679601,10869.0,1191.5943791181514,6.410000434704125,6.410000434704125,1.0
7550000,0.04425183,0.06001534,0.0027074632,0.018773666,7.438552e-05,0.12479516,0.0012472776,3921.3333333333335,1190.8157049159345,1.8088890359633498,1.8088890359633498,1.0
7600000,0.035097685,0.043736145,0.0034725878,0.018513957,7.2846466e-05,0.12428213,0.0012216781,5054.666666666667,1190.7624467830587,2.742500171996653,2.742500171996653,1.0
7650000,0.037842378,0.071237475,0.0025115549,0.018314704,7.1305316e-05,0.1237684,0.0011960436,8576.666666666666,1191.3511090370996,6.592500340659171,6.592500340659171,1.0
7700000,0.039307773,0.08810073,0.002551418,0.015340879,6.976385e-05,0.123254575,0.0011704038,7086.75,1193.2807570799964,4.8275002769660205,4.8275002769660205,1.0
7750000,0.038613673,0.080239184,0.0025303573,0.013261255,6.8221445e-05,0.12274045,0.0011447484,8708.8,1194.1726185059024,4.835000376589596,4.835000376589596,1.0
7800000,0.04945764,0.07255384,0.0024526974,0.016147738,6.666139e-05,0.12222046,0.0011187997,2246.6,1194.6633490628387,2.0960000701248647,2.0960000701248647,1.0
7850000,0.049743302,0.049169302,0.0024362986,0.018348373,6.511436e-05,0.12170477,0.0010930675,7743.285714285715,1195.123034072584,3.8478575022891164,3.8478575022891164,1.0
7900000,0.04986602,0.065983176,0.0030837776,0.017795447,6.3881525e-05,0.12129381,0.0010725611,9067.0,1194.688820563355,5.0857146587222815,5.0857146587222815,1.0
7950000,0.042598497,0.069696896,0.0035909347,0.017535858,6.234172e-05,0.120780565,0.0010469492,6213.428571428572,1194.4747578028112,4.430000224682901,4.430000224682901,1.0
8000000,0.04193063,0.054535307,0.0032557747,0.019161463,6.0798164e-05,0.12026602,0.0010212748,6994.142857142857,1193.693182256604,3.4914288369140456,3.4914288369140456,1.0
8050000,0.05000245,0.0568554,0.0033512646,0.017369354,5.925245e-05,0.1197508,0.0009955643,3066.8571428571427,1193.83808119491,2.1707144122836843,2.1707144122836843,1.0
8100000,0.033205062,0.0530414,0.0030262093,0.018889321,5.7709593e-05,0.1192365,0.0009699016,6092.555555555556,1194.1112834202856,3.9566669138148427,3.9566669138148427,1.0
8150000,0.04989231,0.05545627,0.0029794883,0.018388806,5.6167304e-05,0.11872242,0.00094424793,9107.0,1194.1818650114756,5.566250342642888,5.566250342642888,1.0
8200000,0.041725457,0.054500893,0.002655635,0.017295294,5.4626784e-05,0.1182089,0.00091862405,7773.0,1193.3442402360854,3.730000322019415,3.730000322019415,1.0
8250000,0.046793688,0.0352614,0.0033287546,0.015969098,5.3394975e-05,0.117798306,0.0008981349,9010.0,1191.8958873967838,4.770833735354245,4.770833735354245,1.0
8300000,0.044921182,0.08725872,0.0028867852,0.015446387,5.185088e-05,0.11728361,0.0008724515,3520.0,1192.9826785890648,3.975833485213419,3.975833485213419,1.0
8350000,0.04212323,0.07271574,0.0026539895,0.017837662,5.0308263e-05,0.11676938,0.00084679277,9741.8,1192.7697577802423,5.815000404231251,5.815000404231251,1.0
8400000,0.042004615,0.08940531,0.0023413084,0.015802896,4.87668e-05,0.11625558,0.0008211531,9315.6,1193.2741517716047,6.684000398032367,6.684000398032367,1.0
8450000,0.04109107,0.07508865,0.0024859235,0.01566841,4.722482e-05,0.11574156,0.0007955045,7045.8,1194.4722261915235,5.1150003025308255,5.1150003025308255,1.0
8500000,0.055943076,0.072485365,0.0023217518,0.014211629,4.568422e-05,0.115228035,0.00076987944,9510.857142857143,1194.216776967928,6.013571836719556,6.013571836719556,1.0
8550000,0.05642273,0.031674735,0.0033994825,0.017683066,4.414484e-05,0.11471493,0.00074427435,2939.0,1193.8623972144635,0.47714303793119534,0.47714303793119534,1.0
8600000,0.04822296,0.06312921,0.0017633785,0.018910864,4.2909793e-05,0.11430323,0.0007237315,10498.75,1194.7042321962322,7.268750477582216,7.268750477582216,1.0
